Size;QuickSort_Random;MergeSort_Random;QuickSort_Reversed;MergeSort_Reversed;QuickSort_Nearly;MergeSort_Nearly;;Cmp_QuickSort_Random;Cmp_MergeSort_Random;Cmp_QuickSort_Reversed;Cmp_MergeSort_Reversed;Cmp_QuickSort_Nearly;Cmp_MergeSort_Nearly
100;0.05985;0.2534;0.04141;0.25007;0.05546;0.25845;;1860;1182;1868;1168;2702;1608
200;0.13446;0.58174;0.08918;0.61295;0.11307;0.57762;;4848;2968;4168;2572;5896;3518
300;0.22108;1.03227;0.15182;0.92447;0.17959;0.92146;;7358;5044;7360;4134;8442;5748
400;0.30218;1.30505;0.18266;1.2103;0.23344;1.22204;;9988;7256;9280;5708;11632;7854
500;0.34926;1.55249;0.24644;1.48998;0.29804;1.4681;;12968;9746;11228;7492;14938;9906
600;0.43064;2.08386;0.29251;2.04918;0.3733;2.0678;;16468;12220;15916;8922;18176;12870
700;0.49976;2.44788;0.33322;2.58195;0.476;2.44072;;21090;14886;17940;10356;23316;15740
800;0.60067;2.78932;0.37733;2.63309;0.51416;2.6847;;24326;17520;20224;12284;27248;18022
900;0.70862;3.04895;0.42395;2.94635;0.6;3.0263;;30332;20348;22550;14198;30462;20526
1000;0.78686;3.36127;0.46389;3.13427;0.66023;3.28331;;33202;23206;24562;16014;35146;22718
1100;0.88136;4.27111;0.56943;4.06238;0.7501;4.14444;;37682;26018;31660;17462;39588;25760
1200;0.95501;4.67941;0.62105;4.57404;0.83451;4.5939;;40774;29070;34116;19002;41378;28932
1300;1.03896;5.02562;0.66508;4.82042;0.91185;4.97471;;44184;32100;36734;20828;47870;32030
1400;1.15093;5.44076;0.69087;5.19856;0.97316;5.20813;;48832;35208;38678;22180;53058;35026
1500;1.23134;5.66652;0.73831;5.34453;1.03939;5.62438;;53744;38338;41332;24036;53148;37624
1600;1.34205;5.90743;0.79149;5.71583;1.12378;5.91722;;59938;41402;43666;26176;60910;40558
1700;1.42553;6.44403;0.84144;6.06844;1.1978;6.24557;;62244;44694;46048;27716;60894;43412
1800;1.52352;6.60238;0.8957;6.36297;1.27341;6.61995;;64928;47858;48586;30108;66284;45600
1900;1.63338;6.98925;0.97639;6.6233;1.37768;6.9457;;73644;51186;50704;31780;68962;48852
2000;1.69912;7.23208;1.02908;6.86763;1.39114;7.26614;;74520;54526;53212;34154;71032;50958
2100;1.85295;8.75561;1.06174;8.42386;1.70287;8.68642;;80394;57782;59406;35814;89502;54286
2200;1.92118;9.31001;1.19592;8.84181;1.57438;9.16253;;89820;61104;67692;37118;83444;57624
2300;2.04383;9.77744;1.22625;9.28251;1.70002;9.48743;;89062;64570;70534;38680;89960;60876
2400;2.07331;10.1076;1.26981;9.68222;1.74455;9.94812;;94854;67950;73102;40448;94338;64240
2500;2.18758;10.4329;1.32569;10.1895;2.05774;10.2597;;98452;71376;75726;42280;104844;66988
2600;2.30583;10.8446;1.3769;10.443;1.88547;10.6696;;105888;74864;78494;44370;100476;70442
2700;2.38665;11.21;1.42983;11.0211;1.89635;10.9819;;107566;78426;80432;45348;105766;73902
2800;2.44657;11.7576;1.48636;11.2364;2.00474;11.2607;;110096;81930;83224;47450;109154;76710
2900;2.5626;11.8868;1.51761;11.4408;1.9241;11.7216;;118292;85602;85906;49464;111000;79604
3000;2.65934;12.1903;1.56762;11.8546;1.78879;12.0952;;121620;89166;88816;51480;117516;82524
