Size;TSQ_Random;SM_Random;MSD_Random;MSD+SQ_Random;TSQ_Reversed;SM_Reversed;MSD_Reversed;MSD+SQ_Reversed;TSQ_Nearly;SM_Nearly;MSD_Nearly;MSD+SQ_Nearly;;Cmp_TSQ_Random;Cmp_SM_Random;Cmp_MSD_Random;Cmp_MSD+SQ_Random;Cmp_TSQ_Reversed;Cmp_SM_Reversed;Cmp_MSD_Reversed;Cmp_MSD+SQ_Reversed;Cmp_TSQ_Nearly;Cmp_SM_Nearly;Cmp_MSD_Nearly;Cmp_MSD+SQ_Nearly
100;0.03809;0.40628;0.14055;0.03009;0.06169;0.2888;0.11491;0.07325;0.06565;0.41788;0.10475;0.0607;;638;1182;338;638;1220;1168;466;1220;1086;1608;460;1086
200;0.11627;0.88253;0.31113;0.10208;0.20432;0.61677;0.16115;0.13983;0.08448;0.58559;0.17307;0.08631;;1577;2968;794;1577;2958;2572;962;2958;2117;3518;922;2117
300;0.11692;1.03179;0.25587;0.055;0.17571;0.97099;0.26651;0.24889;0.14942;1.02488;0.22651;0.11364;;2746;5044;1238;1192;4351;4134;1462;5522;3400;5748;1376;2540
400;0.15833;1.3075;0.29726;0.10103;0.29001;1.54101;0.32222;0.35116;0.1967;1.2894;0.31931;0.17575;;3513;7256;1664;1708;6567;5708;1954;7317;4801;7854;1850;3405
500;0.20275;1.96673;0.35985;0.10744;0.41055;1.56332;0.44179;0.49026;0.31397;1.5769;0.35849;0.19326;;4613;9746;2092;2308;9293;7492;2438;9293;6800;9906;2314;4283
600;0.26328;2.24806;0.37743;0.19619;0.54621;2.2941;0.4658;0.50617;0.40098;2.20033;0.44564;0.22694;;5834;12220;2520;2917;11020;8922;2914;11109;8812;12870;2816;5134
700;0.32817;2.54536;0.42193;0.15783;0.61779;2.51731;0.56096;0.6017;0.47591;2.57127;0.53199;0.26292;;7066;14886;2960;3548;13667;10356;3416;12908;10235;15740;3300;5913
800;0.4083;2.85398;0.48495;0.18914;0.80739;2.75419;0.62655;0.6906;0.6908;2.83355;0.60774;0.29233;;8725;17520;3426;4214;17541;12284;3896;14867;13563;18022;3772;6714
900;0.46009;3.22728;0.56361;0.23229;1.04023;3.32915;0.71463;0.77534;0.72756;3.31074;0.67675;0.35659;;9603;20348;3880;4919;20895;14198;4396;16884;15660;20526;4254;7630
1000;0.47802;3.46025;0.60629;0.25628;1.12863;3.33837;0.80684;0.84597;0.91864;3.50322;0.75026;0.38868;;10292;23206;4344;5657;23955;16014;4904;18602;18884;22718;4728;8460
